Epoch,Loss,Accuracy
1,2.4631762504577637,0.322265625
2,1.6812726259231567,0.5322265625
3,1.4188249111175537,0.5810546875
4,1.2950736284255981,0.609375
5,1.1833651065826416,0.6328125
6,1.1064403057098389,0.658203125
7,1.057182788848877,0.662109375
8,1.0282880067825317,0.6875
9,0.9528074264526367,0.6962890625
10,0.9218652248382568,0.705078125
11,0.9057066440582275,0.7138671875
12,0.8908507823944092,0.7197265625
13,0.8559587001800537,0.7353515625
14,0.8292770981788635,0.740234375
15,0.8020790815353394,0.7490234375
16,0.7874188423156738,0.755859375
17,0.7680339217185974,0.767578125
18,0.7645037770271301,0.7587890625
19,0.7464295625686646,0.7529296875
20,0.7210182547569275,0.7685546875
21,0.6878485083580017,0.78515625
22,0.6743577718734741,0.7939453125
23,0.6670501232147217,0.7958984375
24,0.658189058303833,0.79296875
25,0.6527774930000305,0.7939453125
26,0.6400880813598633,0.7978515625
27,0.6208679676055908,0.80078125
28,0.6137163639068604,0.814453125
29,0.5961230993270874,0.806640625
30,0.610127329826355,0.8203125
31,0.5946502685546875,0.8134765625
32,0.5621938705444336,0.81640625
33,0.5574237704277039,0.8251953125
34,0.536626398563385,0.82421875
35,0.5573446154594421,0.83984375
36,0.5234545469284058,0.8388671875
37,0.5749178528785706,0.8154296875
38,0.5394772887229919,0.8359375
39,0.5326142907142639,0.8310546875
40,0.5261801481246948,0.8369140625
41,0.5054743885993958,0.83984375
42,0.515585720539093,0.8369140625
43,0.5192885398864746,0.83203125
44,0.4853449761867523,0.8486328125
45,0.48680901527404785,0.8515625
46,0.4977681040763855,0.8525390625
47,0.4907267093658447,0.8466796875
48,0.4564063549041748,0.8525390625
49,0.4708470106124878,0.85546875
50,0.4800901412963867,0.859375
51,0.4388880431652069,0.85546875
52,0.4520581066608429,0.8505859375
53,0.43115103244781494,0.859375
54,0.43607398867607117,0.8564453125
55,0.4532942771911621,0.8583984375
56,0.38836437463760376,0.8701171875
57,0.4247261881828308,0.8779296875
58,0.41470253467559814,0.8759765625
59,0.42866358160972595,0.8681640625
60,0.40860894322395325,0.8740234375
61,0.4192466735839844,0.8671875
62,0.39827680587768555,0.87890625
63,0.436995267868042,0.8720703125
64,0.38240283727645874,0.875
65,0.4024057686328888,0.865234375
66,0.3931529223918915,0.8818359375
67,0.4032157063484192,0.8720703125
68,0.38405922055244446,0.8798828125
69,0.3812406063079834,0.8759765625
70,0.3694225251674652,0.87890625
71,0.3975398540496826,0.884765625
72,0.39032214879989624,0.8818359375
73,0.4102357029914856,0.87109375
74,0.3758120834827423,0.890625
75,0.36858123540878296,0.87890625
76,0.3635329604148865,0.8828125
77,0.3729601502418518,0.8779296875
78,0.3659859895706177,0.8779296875
79,0.359070748090744,0.880859375
80,0.3627500832080841,0.888671875
